,zillow_zip,zillow_month_day,zillow_sales_value_index,zillow_month
20692,11210,2019-09-30,621109.5801934778,2019-09
20870,11210,2019-10-31,622955.160816771,2019-10
21048,11210,2019-11-30,626957.9522647646,2019-11
21226,11210,2019-12-31,631962.8273538308,2019-12
21404,11210,2020-01-31,637926.281699507,2020-01
21582,11210,2020-02-29,643416.9759463187,2020-02
21760,11210,2020-03-31,649531.642914862,2020-03
21938,11210,2020-04-30,653678.2762633924,2020-04
22116,11210,2020-05-31,656476.3998873484,2020-05
22294,11210,2020-06-30,658216.4367636117,2020-06
22472,11210,2020-07-31,659510.0394213597,2020-07
22650,11210,2020-08-31,660270.4774942473,2020-08
22828,11210,2020-09-30,660461.0234360774,2020-09
23006,11210,2020-10-31,658582.0194346971,2020-10
23184,11210,2020-11-30,656300.7153598323,2020-11
23362,11210,2020-12-31,653888.0185380757,2020-12
23540,11210,2021-01-31,652841.9586191062,2021-01
23718,11210,2021-02-28,654158.6352039861,2021-02
23896,11210,2021-03-31,657147.3600561832,2021-03
24074,11210,2021-04-30,661145.3043341384,2021-04
24252,11210,2021-05-31,664188.7474096371,2021-05
24430,11210,2021-06-30,666270.8970537796,2021-06
24608,11210,2021-07-31,668792.800983023,2021-07
24786,11210,2021-08-31,671507.7846312434,2021-08
24964,11210,2021-09-30,674722.346092437,2021-09
25142,11210,2021-10-31,678623.098598105,2021-10
25320,11210,2021-11-30,683174.3297130244,2021-11
25498,11210,2021-12-31,686110.8354901986,2021-12
25676,11210,2022-01-31,688025.3951272485,2022-01
25854,11210,2022-02-28,688853.6788401986,2022-02
26032,11210,2022-03-31,691274.4857165859,2022-03
26210,11210,2022-04-30,694287.3882429061,2022-04
26388,11210,2022-05-31,697546.4276857941,2022-05
26566,11210,2022-06-30,703010.3708805748,2022-06
26744,11210,2022-07-31,706879.6157556033,2022-07
26922,11210,2022-08-31,709393.5642903334,2022-08
27100,11210,2022-09-30,706723.439854736,2022-09
27278,11210,2022-10-31,703696.184746472,2022-10
27456,11210,2022-11-30,700349.7750433679,2022-11
27634,11210,2022-12-31,696420.1240460175,2022-12
27812,11210,2023-01-31,694080.1373525499,2023-01
47,11211,2010-01-31,402714.98254756094,2010-01
225,11211,2010-02-28,406601.00728177343,2010-02
403,11211,2010-03-31,403484.64087029477,2010-03
581,11211,2010-04-30,398008.73608088493,2010-04
759,11211,2010-05-31,391781.3189764989,2010-05
937,11211,2010-06-30,391943.3417494,2010-06
1115,11211,2010-07-31,395461.44585081155,2010-07
1293,11211,2010-08-31,396802.9627370033,2010-08
